epoch,train_avg_nll,train_perplexity,val_avg_nll,val_perplexity
1,3.619727885816762,37.327409122507454,5.407847090532089,223.1506470147251
2,3.5587150929758926,35.11804472065063,5.42371555606327,226.7199501490158
3,3.5080621700592203,33.38351349083365,5.431265175077927,228.43807683598746
4,3.4729565403597453,32.23189661508138,5.4372560722020316,229.81073347040007
5,3.4515811740117925,31.550239308432776,5.440617483009025,230.58452153464023
